year,firstday,lastday
2015,163,242
2016,128,202
2017,133,219
2018,159,177
2019,194,266
2020,129,226
2021,217,224
2022,184,212
2023,137,236
2024,151,221
2025,173,248
2026,173,193
2027,166,212
2028,170,219
2029,175,276
2030,165,252
2031,220,227
2032,185,244
2033,187,240
2034,137,235
2035,142,230
2036,False,False
2037,187,245
2038,149,174
2039,False,False
2040,177,242
2041,182,231
2042,187,196
2043,129,240
2044,191,204
2045,163,236
2046,197,206
2047,135,238
2048,169,228
2049,138,244
2050,136,206
2051,165,258
2052,184,232
2053,225,244
2054,151,223
2055,130,239
2056,190,242
2057,181,259
2058,127,230
2059,182,283
2060,241,248
2061,229,239
2062,145,253
2063,130,201
2064,189,255
2065,181,213
2066,182,241
2067,195,256
2068,132,275
2069,145,257
2070,138,205
2071,148,215
2072,146,278
2073,181,272
2074,124,255
2075,173,253
2076,138,219
2077,128,244
2078,147,255
2079,176,249
2080,144,287
2081,140,235
2082,144,259
2083,121,252
2084,156,269
2085,139,221
2086,189,254
2087,132,240
2088,144,207
2089,161,271
2090,144,271
2091,163,261
2092,149,193
2093,172,256
2094,122,267
2095,142,257
2096,125,214
2097,120,252
2098,126,263
2099,127,244
2100,124,236
