year,firstday,lastday
2015,162,271
2016,181,264
2017,129,264
2018,178,271
2019,180,262
2020,116,267
2021,152,250
2022,151,265
2023,163,269
2024,128,264
2025,180,213
2026,148,279
2027,157,271
2028,152,268
2029,174,264
2030,155,264
2031,152,264
2032,182,220
2033,160,269
2034,175,271
2035,160,263
2036,126,256
2037,179,280
2038,155,273
2039,155,254
2040,182,276
2041,139,224
2042,172,303
2043,156,227
2044,155,269
2045,155,269
2046,151,268
2047,156,270
2048,174,287
2049,166,271
2050,122,258
2051,158,254
2052,171,259
2053,154,304
2054,164,264
2055,132,266
2056,155,297
2057,170,274
2058,153,266
2059,168,260
2060,160,258
2061,153,297
2062,147,265
2063,152,278
2064,150,265
2065,136,264
2066,152,277
2067,147,251
2068,156,272
2069,154,290
2070,154,259
2071,138,266
2072,153,257
2073,158,269
2074,135,274
2075,141,270
2076,131,260
2077,146,280
2078,137,299
2079,131,268
2080,150,284
2081,153,264
2082,150,294
2083,139,289
2084,147,254
2085,134,260
2086,157,262
2087,131,277
2088,140,271
2089,138,266
2090,174,269
2091,167,265
2092,158,278
2093,121,277
2094,158,276
2095,142,265
2096,170,267
2097,122,267
2098,167,282
2099,169,272
2100,126,271
