year,firstday,lastday
2015,162,242
2016,169,187
2017,180,259
2018,169,231
2019,172,204
2020,163,201
2021,146,241
2022,154,243
2023,161,243
2024,186,246
2025,173,205
2026,168,202
2027,155,199
2028,153,238
2029,False,False
2030,163,243
2031,123,201
2032,182,229
2033,212,243
2034,200,233
2035,142,185
2036,125,236
2037,202,220
2038,155,194
2039,155,200
2040,177,237
2041,137,219
2042,168,223
2043,130,232
2044,168,206
2045,155,213
2046,151,215
2047,139,237
2048,197,213
2049,213,222
2050,159,232
2051,109,221
2052,170,213
2053,177,200
2054,134,225
2055,174,238
2056,160,296
2057,170,219
2058,151,196
2059,135,233
2060,161,238
2061,166,235
2062,136,150
2063,138,217
2064,134,241
2065,170,210
2066,133,236
2067,167,198
2068,126,220
2069,157,193
2070,182,205
2071,130,185
2072,153,243
2073,164,249
2074,174,249
2075,148,272
2076,131,206
2077,155,245
2078,207,244
2079,136,217
2080,163,248
2081,131,227
2082,148,252
2083,175,267
2084,179,236
2085,227,234
2086,199,262
2087,120,142
2088,140,207
2089,202,236
2090,187,212
2091,197,248
2092,151,251
2093,290,297
2094,178,273
2095,140,250
2096,130,196
2097,222,253
2098,169,222
2099,096,315
2100,157,164
