year,firstday,lastday
2015,169,189
2016,181,196
2017,False,False
2018,191,229
2019,183,208
2020,False,False
2021,False,False
2022,179,265
2023,190,198
2024,181,204
2025,False,False
2026,247,259
2027,164,217
2028,171,188
2029,216,249
2030,254,261
2031,211,222
2032,215,248
2033,False,False
2034,False,False
2035,181,198
2036,False,False
2037,False,False
2038,156,185
2039,221,229
2040,162,234
2041,False,False
2042,False,False
2043,245,256
2044,214,222
2045,195,206
2046,160,221
2047,204,270
2048,False,False
2049,202,213
2050,False,False
2051,203,212
2052,False,False
2053,152,197
2054,False,False
2055,190,200
2056,173,200
2057,230,263
2058,False,False
2059,False,False
2060,233,243
2061,183,249
2062,181,224
2063,194,267
2064,192,237
2065,184,191
2066,174,201
2067,False,False
2068,263,270
2069,False,False
2070,209,216
2071,170,274
2072,251,270
2073,174,202
2074,183,194
2075,233,240
2076,182,200
2077,False,False
2078,171,196
2079,180,212
2080,False,False
2081,False,False
2082,False,False
2083,189,231
2084,181,197
2085,176,194
2086,152,189
2087,180,189
2088,200,208
2089,201,271
2090,173,180
2091,237,246
2092,False,False
2093,181,227
2094,168,175
2095,False,False
2096,208,263
2097,182,214
2098,False,False
2099,326,333
2100,179,187
