year,firstday,lastday
2015,192,220
2016,163,243
2017,198,211
2018,179,241
2019,164,239
2020,False,False
2021,192,242
2022,184,207
2023,190,201
2024,178,203
2025,165,221
2026,176,231
2027,182,219
2028,184,208
2029,217,243
2030,193,251
2031,134,206
2032,204,230
2033,153,230
2034,172,262
2035,126,245
2036,161,220
2037,219,241
2038,138,276
2039,150,197
2040,143,187
2041,172,180
2042,122,243
2043,203,334
2044,172,183
2045,137,248
2046,123,237
2047,161,214
2048,148,219
2049,116,221
2050,134,238
2051,186,197
2052,131,207
2053,181,193
2054,146,233
2055,228,235
2056,143,229
2057,155,213
2058,149,244
2059,183,190
2060,145,212
2061,184,192
2062,178,236
2063,135,237
2064,209,236
2065,173,197
2066,163,191
2067,157,227
2068,185,232
2069,153,197
2070,162,213
2071,178,206
2072,024,201
2073,False,False
2074,122,181
2075,125,287
2076,147,155
2077,False,False
2078,101,142
2079,281,291
2080,137,251
2081,031,038
2082,135,198
2083,130,142
2084,275,287
2085,121,160
2086,141,270
2087,147,227
2088,False,False
2089,142,149
2090,238,245
2091,143,150
2092,175,185
2093,191,300
2094,173,281
2095,False,False
2096,131,286
2097,133,140
2098,129,161
2099,False,False
2100,False,False
