year,firstday,lastday
2015,184,195
2016,181,190
2017,False,False
2018,191,209
2019,False,False
2020,165,198
2021,172,198
2022,False,False
2023,False,False
2024,False,False
2025,127,197
2026,False,False
2027,171,183
2028,187,196
2029,False,False
2030,False,False
2031,False,False
2032,181,194
2033,198,208
2034,139,149
2035,182,204
2036,248,257
2037,False,False
2038,181,200
2039,173,197
2040,142,260
2041,False,False
2042,149,196
2043,178,220
2044,176,193
2045,False,False
2046,False,False
2047,False,False
2048,240,250
2049,150,266
2050,180,195
2051,False,False
2052,174,187
2053,False,False
2054,False,False
2055,174,185
2056,False,False
2057,165,255
2058,167,200
2059,174,203
2060,115,125
2061,False,False
2062,184,200
2063,175,191
2064,False,False
2065,174,244
2066,152,184
2067,False,False
2068,176,207
2069,184,195
2070,193,203
2071,False,False
2072,163,279
2073,False,False
2074,False,False
2075,175,185
2076,False,False
2077,169,182
2078,False,False
2079,138,271
2080,False,False
2081,196,206
2082,148,198
2083,False,False
2084,169,231
2085,282,292
2086,180,204
2087,160,170
2088,False,False
2089,167,215
2090,168,177
2091,266,276
2092,173,270
2093,209,220
2094,171,188
2095,False,False
2096,False,False
2097,161,193
2098,160,195
2099,210,225
2100,187,205
