year,firstday,lastday
2015,167,266
2016,False,False
2017,False,False
2018,248,263
2019,189,208
2020,184,256
2021,False,False
2022,False,False
2023,166,263
2024,189,199
2025,233,243
2026,174,185
2027,191,209
2028,172,185
2029,191,201
2030,176,198
2031,166,210
2032,203,212
2033,False,False
2034,100,223
2035,207,216
2036,False,False
2037,249,260
2038,168,196
2039,191,215
2040,False,False
2041,197,225
2042,False,False
2043,177,243
2044,176,206
2045,False,False
2046,172,250
2047,185,211
2048,202,242
2049,199,245
2050,168,250
2051,False,False
2052,172,258
2053,False,False
2054,178,234
2055,163,208
2056,False,False
2057,180,191
2058,172,210
2059,174,192
2060,178,209
2061,149,240
2062,False,False
2063,165,247
2064,False,False
2065,159,171
2066,183,231
2067,162,248
2068,162,225
2069,189,202
2070,172,261
2071,163,206
2072,169,191
2073,198,210
2074,178,245
2075,216,229
2076,157,215
2077,159,225
2078,False,False
2079,184,213
2080,182,207
2081,234,253
2082,180,191
2083,169,263
2084,192,201
2085,168,177
2086,167,189
2087,170,248
2088,False,False
2089,174,190
2090,158,178
2091,181,222
2092,163,205
2093,156,183
2094,155,194
2095,182,219
2096,False,False
2097,159,259
2098,163,220
2099,187,197
2100,177,207
