year,firstday,lastday
2015,193,276
2016,201,255
2017,133,210
2018,174,266
2019,181,207
2020,194,250
2021,189,247
2022,186,259
2023,181,261
2024,192,279
2025,194,244
2026,167,280
2027,131,241
2028,183,249
2029,139,265
2030,184,261
2031,182,266
2032,195,275
2033,185,273
2034,175,267
2035,133,252
2036,185,260
2037,180,223
2038,230,239
2039,135,212
2040,181,268
2041,183,248
2042,124,255
2043,198,281
2044,143,273
2045,False,False
2046,178,253
2047,169,282
2048,136,294
2049,146,274
2050,182,241
2051,159,251
2052,189,267
2053,179,274
2054,179,277
2055,153,218
2056,185,276
2057,134,267
2058,166,276
2059,167,268
2060,180,277
2061,179,271
2062,175,265
2063,163,271
2064,187,259
2065,154,249
2066,157,240
2067,173,272
2068,186,237
2069,138,274
2070,155,259
2071,175,250
2072,143,236
2073,185,255
2074,174,271
2075,125,289
2076,False,False
2077,152,278
2078,131,278
2079,179,210
2080,132,270
2081,181,215
2082,138,276
2083,130,302
2084,150,304
2085,118,248
2086,139,220
2087,146,275
2088,151,281
2089,136,235
2090,162,294
2091,146,259
2092,147,275
2093,156,293
2094,178,262
2095,169,292
2096,140,297
2097,172,265
2098,131,284
2099,144,248
2100,182,263
