year,firstday,lastday
2015,154,256
2016,132,267
2017,144,270
2018,149,247
2019,187,241
2020,171,248
2021,178,240
2022,181,232
2023,178,246
2024,170,255
2025,208,234
2026,160,235
2027,184,274
2028,166,222
2029,181,263
2030,154,270
2031,165,246
2032,180,252
2033,180,273
2034,168,263
2035,164,226
2036,174,271
2037,178,255
2038,181,216
2039,184,271
2040,172,252
2041,182,263
2042,153,245
2043,179,254
2044,155,242
2045,179,252
2046,170,225
2047,196,268
2048,176,270
2049,172,271
2050,143,266
2051,171,237
2052,181,262
2053,156,267
2054,194,243
2055,182,278
2056,183,275
2057,198,264
2058,189,246
2059,131,261
2060,151,276
2061,190,250
2062,182,246
2063,181,278
2064,182,254
2065,182,259
2066,180,261
2067,161,255
2068,200,272
2069,140,258
2070,160,261
2071,149,253
2072,186,265
2073,158,215
2074,162,246
2075,170,229
2076,188,267
2077,154,266
2078,160,245
2079,182,267
2080,164,265
2081,171,218
2082,169,241
2083,186,254
2084,184,284
2085,155,266
2086,178,273
2087,145,266
2088,159,240
2089,188,252
2090,183,269
2091,133,259
2092,147,270
2093,176,276
2094,182,265
2095,176,265
2096,182,255
2097,178,272
2098,193,260
2099,176,267
2100,182,251
