year,firstday,lastday
2015,137,227
2016,114,252
2017,152,252
2018,117,227
2019,237,251
2020,164,242
2021,137,247
2022,207,222
2023,157,253
2024,179,240
2025,125,249
2026,165,252
2027,161,198
2028,158,209
2029,226,245
2030,178,190
2031,141,245
2032,180,229
2033,134,220
2034,136,266
2035,164,185
2036,171,257
2037,104,222
2038,211,244
2039,176,246
2040,141,246
2041,183,251
2042,147,241
2043,170,221
2044,171,249
2045,213,222
2046,174,276
2047,188,252
2048,166,249
2049,142,218
2050,205,247
2051,168,235
2052,184,248
2053,172,190
2054,180,252
2055,172,241
2056,187,249
2057,159,235
2058,139,256
2059,171,216
2060,227,236
2061,141,217
2062,161,269
2063,165,253
2064,094,223
2065,145,259
2066,150,257
2067,171,243
2068,103,236
2069,144,243
2070,173,231
2071,181,249
2072,159,233
2073,142,189
2074,177,250
2075,163,185
2076,210,271
2077,165,267
2078,174,264
2079,139,249
2080,209,263
2081,166,268
2082,137,236
2083,129,250
2084,168,258
2085,163,229
2086,172,204
2087,160,267
2088,165,206
2089,152,254
2090,160,277
2091,207,253
2092,098,270
2093,130,238
2094,156,182
2095,226,236
2096,122,224
2097,131,242
2098,113,251
2099,201,290
2100,143,261
