year,firstday,lastday
2015,180,190
2016,170,188
2017,False,False
2018,201,225
2019,236,247
2020,False,False
2021,False,False
2022,182,224
2023,192,235
2024,190,224
2025,False,False
2026,False,False
2027,176,201
2028,False,False
2029,183,198
2030,False,False
2031,195,204
2032,False,False
2033,False,False
2034,False,False
2035,182,195
2036,216,226
2037,223,237
2038,168,214
2039,False,False
2040,False,False
2041,False,False
2042,False,False
2043,False,False
2044,236,245
2045,217,228
2046,170,185
2047,198,214
2048,False,False
2049,201,212
2050,226,235
2051,196,205
2052,False,False
2053,165,180
2054,248,257
2055,191,200
2056,False,False
2057,False,False
2058,False,False
2059,False,False
2060,False,False
2061,176,188
2062,215,224
2063,172,192
2064,207,221
2065,209,218
2066,186,195
2067,False,False
2068,184,196
2069,False,False
2070,165,178
2071,False,False
2072,175,268
2073,182,196
2074,182,224
2075,188,202
2076,181,220
2077,False,False
2078,221,232
2079,False,False
2080,226,256
2081,False,False
2082,False,False
2083,False,False
2084,False,False
2085,183,244
2086,False,False
2087,False,False
2088,233,246
2089,203,213
2090,False,False
2091,184,193
2092,False,False
2093,220,234
2094,250,262
2095,194,206
2096,259,269
2097,173,184
2098,False,False
2099,False,False
2100,201,264
