year,firstday,lastday
2015,142,258
2016,129,256
2017,119,238
2018,120,193
2019,179,192
2020,165,225
2021,123,270
2022,166,212
2023,109,219
2024,139,255
2025,178,211
2026,082,244
2027,131,210
2028,137,243
2029,126,250
2030,137,253
2031,173,198
2032,173,202
2033,124,260
2034,111,211
2035,129,250
2036,225,236
2037,157,253
2038,160,209
2039,117,246
2040,181,219
2041,152,267
2042,159,254
2043,185,263
2044,119,216
2045,158,262
2046,170,261
2047,109,258
2048,152,261
2049,086,216
2050,117,127
2051,172,226
2052,092,268
2053,165,221
2054,139,253
2055,122,222
2056,152,204
2057,212,260
2058,118,210
2059,113,270
2060,179,196
2061,117,216
2062,233,242
2063,192,201
2064,153,275
2065,152,262
2066,171,251
2067,150,220
2068,180,282
2069,156,276
2070,176,257
2071,170,262
2072,161,271
2073,150,206
2074,178,215
2075,104,261
2076,096,212
2077,177,239
2078,126,253
2079,125,221
2080,134,275
2081,142,228
2082,154,231
2083,111,263
2084,147,227
2085,095,248
2086,121,266
2087,137,266
2088,184,273
2089,155,230
2090,142,257
2091,137,216
2092,179,228
2093,165,255
2094,135,211
2095,119,241
2096,130,255
2097,150,248
2098,150,164
2099,170,253
2100,165,270
