year,firstday,lastday
2015,149,158
2016,False,False
2017,False,False
2018,220,231
2019,135,263
2020,181,197
2021,163,176
2022,213,227
2023,172,217
2024,False,False
2025,214,225
2026,False,False
2027,178,252
2028,095,197
2029,179,196
2030,158,191
2031,171,185
2032,False,False
2033,192,201
2034,171,185
2035,194,203
2036,False,False
2037,False,False
2038,140,221
2039,197,207
2040,216,236
2041,187,197
2042,False,False
2043,False,False
2044,137,210
2045,222,231
2046,167,189
2047,221,238
2048,171,232
2049,181,196
2050,False,False
2051,False,False
2052,False,False
2053,192,202
2054,False,False
2055,166,207
2056,144,157
2057,False,False
2058,199,210
2059,False,False
2060,False,False
2061,168,179
2062,190,199
2063,167,230
2064,False,False
2065,150,180
2066,False,False
2067,163,196
2068,170,200
2069,False,False
2070,180,259
2071,146,220
2072,False,False
2073,151,161
2074,272,281
2075,145,167
2076,139,181
2077,227,237
2078,193,202
2079,False,False
2080,False,False
2081,166,195
2082,175,185
2083,False,False
2084,205,214
2085,159,168
2086,False,False
2087,False,False
2088,False,False
2089,False,False
2090,False,False
2091,172,193
2092,161,180
2093,False,False
2094,False,False
2095,176,187
2096,False,False
2097,False,False
2098,False,False
2099,False,False
2100,187,202
