year,firstday,lastday
2015,097,247
2016,182,235
2017,176,238
2018,131,225
2019,198,208
2020,147,244
2021,189,245
2022,184,255
2023,197,268
2024,181,215
2025,174,260
2026,168,226
2027,175,249
2028,190,227
2029,181,242
2030,188,247
2031,169,249
2032,163,234
2033,154,265
2034,094,255
2035,092,258
2036,180,240
2037,151,194
2038,182,230
2039,201,210
2040,190,254
2041,111,213
2042,164,229
2043,130,231
2044,164,255
2045,179,251
2046,197,236
2047,161,244
2048,183,251
2049,083,259
2050,165,261
2051,110,244
2052,083,202
2053,192,252
2054,171,236
2055,182,222
2056,182,243
2057,176,259
2058,137,245
2059,False,False
2060,188,264
2061,180,259
2062,179,258
2063,181,266
2064,192,243
2065,097,243
2066,127,238
2067,167,260
2068,194,244
2069,185,258
2070,122,255
2071,176,199
2072,152,236
2073,153,246
2074,228,242
2075,181,197
2076,174,257
2077,181,239
2078,165,263
2079,167,248
2080,167,255
2081,110,227
2082,189,253
2083,142,207
2084,197,242
2085,139,243
2086,182,245
2087,167,243
2088,174,261
2089,154,305
2090,180,245
2091,178,210
2092,118,234
2093,151,239
2094,192,236
2095,197,229
2096,203,265
2097,164,252
2098,181,239
2099,190,267
2100,179,221
