year,firstday,lastday
2015,211,220
2016,163,243
2017,198,211
2018,179,216
2019,181,212
2020,False,False
2021,192,242
2022,184,195
2023,190,201
2024,178,203
2025,165,175
2026,176,214
2027,209,219
2028,184,208
2029,234,243
2030,193,222
2031,166,187
2032,204,216
2033,153,230
2034,172,207
2035,163,222
2036,186,220
2037,False,False
2038,False,False
2039,150,197
2040,143,157
2041,False,False
2042,179,208
2043,203,215
2044,172,183
2045,159,169
2046,False,False
2047,False,False
2048,148,219
2049,177,221
2050,164,238
2051,186,197
2052,197,207
2053,181,193
2054,169,180
2055,False,False
2056,143,229
2057,155,213
2058,173,244
2059,False,False
2060,145,212
2061,False,False
2062,178,236
2063,173,237
2064,227,236
2065,173,197
2066,178,191
2067,157,227
2068,185,214
2069,187,197
2070,162,213
2071,178,206
2072,165,201
2073,False,False
2074,False,False
2075,125,287
2076,False,False
2077,False,False
2078,133,142
2079,281,291
2080,241,251
2081,False,False
2082,152,187
2083,130,142
2084,275,287
2085,121,160
2086,260,270
2087,147,186
2088,False,False
2089,False,False
2090,False,False
2091,False,False
2092,175,185
2093,191,300
2094,False,False
2095,False,False
2096,275,286
2097,False,False
2098,129,139
2099,False,False
2100,False,False
