year,firstday,lastday
2015,164,246
2016,184,230
2017,165,240
2018,153,199
2019,229,244
2020,161,198
2021,179,248
2022,168,248
2023,181,245
2024,192,236
2025,183,249
2026,219,229
2027,172,262
2028,172,216
2029,173,222
2030,181,232
2031,197,209
2032,170,200
2033,179,247
2034,172,210
2035,165,237
2036,False,False
2037,187,206
2038,160,245
2039,181,202
2040,170,238
2041,197,227
2042,184,235
2043,182,193
2044,False,False
2045,184,271
2046,187,248
2047,171,255
2048,185,228
2049,163,236
2050,162,263
2051,140,234
2052,209,269
2053,194,210
2054,False,False
2055,181,190
2056,187,265
2057,180,255
2058,172,252
2059,183,243
2060,190,242
2061,220,235
2062,164,249
2063,241,250
2064,204,216
2065,171,247
2066,181,259
2067,180,214
2068,160,272
2069,250,264
2070,203,217
2071,182,247
2072,173,264
2073,182,201
2074,180,205
2075,181,244
2076,161,220
2077,167,256
2078,171,270
2079,177,245
2080,183,245
2081,202,230
2082,181,231
2083,False,False
2084,169,273
2085,182,253
2086,232,250
2087,192,240
2088,180,256
2089,194,259
2090,148,237
2091,184,218
2092,149,251
2093,172,224
2094,185,201
2095,168,232
2096,False,False
2097,155,273
2098,161,247
2099,224,245
2100,187,248
